#wonby,tesla,phantom,tesla
#inn1/phantom,howout,fielder,bowler,runsscored,
vln,c,srikanth,jaleel,2
mohan,c,balaji,mohan,9
shishir,c,babu,mohan,8
sanjay,c,babu,ratna,0
ravi,c,babu,baskar,0
raj,b,,baskar,3
deven,b,,kiran,2
shankar,ro,baskar,,28
rohit,c,babu,balaji,13
satishn,c,babu,baskar,10
ramu,no,,,0
#blg2/tesla,overs,maiden,runs,wickets,
mohan,4,,21,2
jaleel,4,,19,1
ratna,4,1,14,1
baskar,4,,14,3
kiran,2,,8,1
balaji,2,,7,1
#score,84,overs,20,10,wickets
#inn2/tesla,howout,fielder,bowler,runsscored,
kiran,c,vln,raj,5
babu,no,,,17
satish,c,ravi,raj,0
kotesh,c,deven,raj,1
balaji,c,satishn,raj,3
srikanth,c,shankar,rohit,24
chiru,c,raj,raj,14
ratna,no,,,10
baskar,no,,,1
#blg1/phantom,overs,maiden,runs,wickets,
rohit,3.4,,26,1
raj,4,1,7,5
satishn,4,,25,0
shishir,3,,13,
vln,2,,14,
#catchdropped,vln
#catchdropped,shishir
#catchdropped,satishn
#score,88,overs,16.4,16,wickets
